[00:00.00]  There
[14:04.26]  keep
[14:04.50]  piling
[14:04.82]  on.
[14:05.38]  If
[14:05.58]  you
[14:05.76]  drink
[14:05.92]  this
[14:06.20]  every
[14:06.50]  morning
[14:06.86]  and
[14:07.14]  then
[14:07.42]  bake
[14:07.62]  outside
[14:08.08]  all
[14:08.46]  afternoon
[14:08.84]  with
[14:09.20]  no
[14:09.46]  hat
[14:09.74]  and
[14:10.00]  no
[14:10.28]  protection,
[14:10.68]  you
[14:11.24]  are
[14:11.54]  bailing
[14:11.92]  water
[14:12.28]  out
[14:12.58]  of
[14:12.74]  a
[14:12.90]  boat
[14:13.08]  with
[14:13.36]  the
[14:13.58]  hole
[14:13.82]  still
[14:14.18]  wide
[14:14.42]  open.
[14:15.00]  I'm
[14:15.48]  not
[14:15.72]  here
[14:15.92]  to
[14:16.12]  sell
[14:16.26]  you
[14:16.46]  a
[14:16.48]  miracle,
[14:17.26]  I'm
[14:17.58]  here
[14:17.78]  to
[14:18.00]  hand
[14:18.16]  you
[14:18.42]  a
[14:18.52]  good,
[14:18.98]  cheap,
[14:19.48]  real
[14:19.84]  tool,
[14:20.66]  honestly.
[14:21.20]  Now
[14:21.44]  let
[14:21.68]  me
[14:21.84]  pay
[14:22.08]  off
[14:22.24]  what
[14:22.42]  I
[14:22.70]  promised
[14:22.90]  you
[14:23.12]  at
[14:23.28]  the
[14:23.44]  very
[14:23.72]  top,
[14:24.32]  the
[14:24.44]  mistake
[14:24.82]  9
[14:25.30]  out
[14:25.56]  of
[14:25.64]  10
[14:25.84]  people
[14:26.12]  make,
[14:26.74]  the
[14:26.88]  one
[14:27.06]  that
[14:27.34]  quietly
[14:27.74]  cancels
[14:28.22]  the
[14:28.42]  whole
[14:28.64]  thing,
[14:29.22]  and
[14:29.40]  I'll
[14:29.60]  bet
[14:29.74]  money
[14:30.04]  it's
[14:30.28]  not
[14:30.50]  what
[14:30.64]  you
[14:30.84]  guessed,
[14:31.36]  because
[14:31.62]  it's
[14:31.86]  the
[14:31.98]  most
[14:32.34]  natural,
[14:33.12]  sensible
[14:33.72]  seeming
[14:34.16]  thing
[14:34.30]  in
[14:34.48]  the
[14:34.62]  world.
[14:35.80]  The
[14:36.00]  mistake
[14:36.38]  is,
[14:37.00]  they
[14:37.14]  boil
[14:37.40]  it,
[14:37.86]  they
[14:38.08]  take
[14:38.24]  the
[14:38.46]  rosemary,
[14:39.00]  they
[14:39.18]  drop
[14:39.32]  it
[14:39.48]  in
[14:39.58]  a
[14:39.74]  pot,
[14:39.94]  and
[14:40.26]  they
[14:40.48]  let
[14:40.62]  it
[14:40.86]  roll
[14:41.00]  at
[14:41.24]  a
[14:41.38]  hard
[14:41.56]  boil
[14:41.76]  for
[14:42.00]  10
[14:42.32] -15
[14:42.68]  minutes
[14:43.22]  like
[14:43.50]  they're
[14:43.70]  making
[14:44.04]  a
[14:44.26]  stock,
[14:44.80]  thinking
[14:45.22]  more
[14:45.74]  heat,
[14:46.16]  more
[14:46.46]  time,
[14:46.96]  stronger
[14:47.16]  medicine,
[14:47.94]  I'm
[14:48.20]  really
[14:48.50]  getting
[14:48.68]  it
[14:48.88]  all
[14:49.06]  out,
[14:49.64]  it
[14:49.78]  feels
[14:50.06]  responsible,
[14:51.16]  it
[14:51.30]  feels
[14:51.54]  like
[14:51.72]  doing
[14:51.96]  it
[14:52.22]  properly,
[14:52.94]  and
[14:53.14]  they
[14:53.34]  just
[14:53.58]  cooked
[14:53.76]  the
[14:53.96]  good
[14:54.06]  out
[14:54.26]  of
[14:54.38]  it.
[14:54.50]  Those
[14:54.80]  delicate
[14:55.24]  compounds,
[14:56.24]  the
[14:56.36]  carnosic
[14:56.94]  acid,
[14:57.52]  the
[14:57.72]  rosmarinic
[14:58.50]  acid,
[14:59.06]  the
[14:59.30]  whole
[14:59.54]  reason
[14:59.82]  you're
[15:00.06]  bothering
[15:00.44]  are
[15:00.82]  fragile.
[15:01.80]  Hold
[15:02.04]  them
[15:02.24]  at
[15:02.40]  a
[15:02.60]  hard
[15:02.80]  rolling
[15:03.06]  boil
[15:03.44]  and
[15:03.72]  you
[15:03.90]  break
[15:04.08]  them
[15:04.32]  down
[15:04.60]  and
[15:04.94]  steam
[15:05.16]  them
[15:05.42]  off.
[15:05.62]  So
[15:06.30]  what's
[15:06.64]  left
[15:06.80]  in
[15:06.98]  the
[15:07.16]  pot
[15:07.32]  is
[15:07.64]  bitter,
[15:08.24]  brown,
[15:08.78]  hot
[15:09.04]  water
[15:09.38]  that
[15:09.64]  smells
[15:09.96]  like
[15:10.28]  rosemary,
[15:11.16]  and
[15:11.28]  does
[15:11.50]  almost
[15:11.90]  nothing,
[15:12.78]  and
[15:12.96]  the
[15:13.10]  person
[15:13.38]  drinks
[15:13.68]  that
[15:13.96]  faithfully
[15:14.46]  for
[15:14.68]  3
[15:14.92]  weeks,
[15:15.66]  feels
[15:15.90]  no
[15:16.16]  difference,
[15:16.92]  and
[15:17.12]  decides,
[15:17.88]  reasonably,
[15:18.74]  well
[15:18.94]  that
[15:19.22]  folk
[15:19.48]  remedy
[15:19.84]  doesn't
[15:20.16]  work.
[15:20.90]  It
[15:21.10]  worked
[15:21.30]  fine,
[15:21.98]  they
[15:22.26]  boiled
[15:22.52]  it
[15:22.76]  to
[15:22.88]  death
[15:23.10]  before
[15:23.46]  it
[15:23.76]  ever
[15:23.90]  reached
[15:24.18]  the
[15:24.42]  glass.
[15:25.10]  That's
[15:25.40]  why
[15:25.56]  you
[15:25.74]  bring
[15:25.90]  the
[15:26.14]  water
[15:26.36]  to
[15:26.56]  a
[15:26.72]  boil
[15:26.92]  and
[15:27.24]  then
[15:27.46]  take
[15:27.68]  it
[15:27.96]  off
[15:28.16]  the
[15:28.38]  heat
[15:28.58]  and
[15:29.00]  let
[15:29.18]  it
[15:29.44]  settle
[15:29.66]  before
[15:30.02]  it
[15:30.32]  ever
[15:30.54]  touches
[15:30.88]  the
[15:31.12]  leaves.
[15:31.40]  Hot
[15:32.02]  enough
[15:32.36]  to
[15:32.56]  pull
[15:32.78]  the
[15:32.96]  good
[15:33.14]  stuff
[15:33.36]  out,
[15:34.16]  never
[15:34.36]  so
[15:34.64]  hot
[15:34.84]  it
[15:35.04]  destroys
[15:35.46]  it,
[15:36.14]  gentle,
[15:37.02]  off
[15:37.18]  the
[15:37.46]  boil,
[15:38.00]  covered,
[15:38.70]  5
[15:38.98] -10
[15:39.28]  minutes
[15:39.72]  and
[15:40.04]  that's
[15:40.28]  it.
[15:40.88]  That's
[15:41.22]  the
[15:41.36]  whole
[15:41.52]  secret,
[15:42.28]  and
[15:42.42]  it's
[15:42.72]  the
[15:42.82]  exact
[15:43.04]  opposite
[15:43.56]  of
[15:44.02]  more
[15:44.30]  is
[15:44.64]  stronger.
[15:45.50]  With
[15:45.68]  this
[15:46.00]  plant,
[15:47.04]  gentler
[15:47.26]  is
[15:47.56]  stronger.
[15:48.16]  And
[15:48.30]  that's
[15:48.74]  also
[15:49.10]  the
[15:49.38]  more
[15:49.56]  is
[15:49.92]  worse
[15:50.12]  I
[15:50.44]  mentioned,
[15:51.10]  same
[15:51.32]  idea.
[15:52.08]  A
[15:52.30]  giant
[15:52.72]  batch
[15:52.98]  boiled
[15:53.34]  hard
[15:53.68]  all
[15:54.00]  day
[15:54.30]  isn't
[15:54.82]  a
[15:54.96]  stronger
[15:55.30]  dose,
[15:55.94]  it's
[15:56.28]  a
[15:56.40]  weaker,
[15:56.92]  more
[15:57.06]  bitter
[15:57.34]  one.
[15:57.68]  One
[15:58.34]  gentle
[15:58.72]  glass,
[15:59.30]  made
[15:59.56]  right,
[16:00.32]  beats
[16:00.44]  a
[16:00.70]  whole
[16:00.94]  pot
[16:01.20]  made
[16:01.56]  wrong
[16:01.84]  every
[16:02.30]  single
[16:02.70]  time.
[16:03.52]  So
[16:03.74]  let
[16:03.92]  me
[16:04.06]  put
[16:04.24]  the
[16:04.44]  whole
[16:04.64]  thing
[16:04.84]  together,
[16:05.54]  simply,
[16:05.98]  5
[16:06.24]  steps,
[16:06.94]  so
[16:07.02]  you
[16:07.14]  can
[16:07.36]  start
[16:07.60]  tomorrow
[16:08.02]  morning.
[16:08.56]  1.
[16:09.10]  A
[16:09.46]  small
[16:09.72]  handful
[16:10.08]  of
[16:10.38]  rosemary,
[16:11.14]  fresh
[16:11.44]  or
[16:11.80]  dried,
[16:12.46]  both
[16:12.68]  work,
[16:13.28]  into
[16:13.52]  your
[16:13.80]  cup.
[16:14.84]  2.
[16:15.58]  Water
[16:16.00]  brought
[16:16.26]  to
[16:16.46]  a
[16:16.64]  boil
[16:16.86]  and
[16:17.20]  then
[16:17.42]  taken
[16:17.68]  off
[16:18.08]  the
[16:18.32]  heat
[16:18.42]  for
[16:18.68]  a
[16:18.78]  minute,
[16:19.48]  poured
[16:19.64]  over
[16:20.04]  the
[16:20.24]  leaves,
[16:20.98]  never
[16:21.22]  a
[16:21.46]  hard
[16:21.72]  rolling
[16:22.02]  boil,
[16:22.70]  that's
[16:22.98]  what
[16:23.18]  kills
[16:23.42]  it.
[16:24.48]  3.
[16:25.32]  Cover
[16:25.62]  it
[16:25.92]  and
[16:26.14]  steep
[16:26.30]  it
[16:26.52]  gently,
[16:27.12]  about
[16:27.44]  5
[16:27.78] -10
[16:28.08]  minutes,
[16:28.86]  then
[16:29.06]  strain
[16:29.38]  and
[16:29.58]  let
[16:29.76]  it
[16:29.98]  cool
[16:30.16]  to
[16:30.40]  warm.
[16:31.42]  4.
[16:32.20]  Drink
[16:32.44]  it
[16:32.70]  first
[16:32.94]  thing
[16:33.08]  in
[16:33.24]  the
[16:33.38]  morning,
[16:33.76]  before
[16:34.00]  the
[16:34.24]  coffee,
[16:34.56]  before
[16:34.90]  food,
[16:35.62]  that's
[16:35.92]  the
[16:36.08]  hour
[16:36.30]  your
[16:36.50]  body
[16:36.80]  is
[16:37.08]  thirstiest
[16:37.56]  and
[16:37.80]  grabs
[16:38.06]  it
[16:38.36]  fastest.
[16:39.66]  5.
[16:40.56]  One
[16:40.98]  honest
[16:41.40]  glass,
[16:41.88]  most
[16:42.22]  days,
[16:42.84]  patient,
[16:43.54]  consistent,
[16:44.38]  not
[16:44.62]  heroic,
[16:45.46]  and
[16:45.60]  give
[16:45.74]  it
[16:45.96]  a
[16:46.02]  full
[16:46.22]  8
[16:46.54]  weeks
[16:46.82]  before
[16:47.16]  you
[16:47.40]  judge
[16:47.56]  it.
[16:48.20]  The
[16:48.56]  exact
[16:48.82]  amounts,
[16:49.60]  fresh
[16:49.94]  vs
[16:50.28]  dried
[16:50.60]  measures,
[16:51.44]  the
[16:51.60]  water
[16:51.86]  temperature,
[16:52.34]  how
[16:52.86]  many
[16:53.12]  days
[16:53.34]  a
[16:53.56]  week,
[16:54.08]  the
[16:54.28]  gentle
[16:54.60]  patch
[16:54.90]  in
[16:55.14]  first
[16:55.44]  steps,
[16:56.06]  that
[16:56.28]  whole
[16:56.54]  card
[16:56.82]  is
[16:56.98]  in
[16:57.12]  the
[16:57.34]  guide
[16:57.54]  linked
[16:57.82]  at
[16:58.00]  the
[16:58.12]  top
[16:58.26]  of
[16:58.46]  the
[16:58.62]  description,
[16:59.06]  and
[16:59.50]  I
[16:59.78]  genuinely
[17:00.18]  want
[17:00.48]  you
[17:00.60]  to
[17:00.76]  read
[17:00.92]  it
[17:01.14]  before
[17:01.36]  your
[17:01.66]  first
[17:01.90]  glass,
[17:02.44]  because
[17:02.76]  with
[17:03.00]  this
[17:03.28]  one,
[17:03.80]  doing
[17:04.06]  it
[17:04.38]  gently
[17:04.64]  matters
[17:05.06]  more
[17:05.44]  than
[17:05.60]  doing
[17:05.84]  it
[17:06.16]  strong.
[17:06.62]  I'd
[17:06.96]  honestly
[17:07.20]  love
[17:07.42]  to
[17:07.64]  know
[17:07.82]  down
[17:08.02]  in
[17:08.22]  the
[17:08.38]  comments
[17:08.70]  how
[17:09.18]  many
[17:09.44]  of
[17:09.64]  you
[17:09.74]  have
[17:09.90]  been
[17:10.16]  boiling
[17:10.46]  your
[17:10.78]  herbs
[17:10.98]  this
[17:11.24]  whole
[17:11.48]  time
[17:11.78]  thinking
[17:12.42]  harder
[17:12.78]  was
[17:13.04]  better.
[17:13.80]  Just
[17:14.06]  tell
[17:14.22]  me
[17:14.46]  boiled
[17:14.78]  or
[17:15.14]  steeped,
[17:15.70]  I
[17:15.94]  read
[17:16.14]  them,
[17:16.56]  and
[17:16.78]  I've
[17:16.96]  got
[17:17.10]  a
[17:17.24]  feeling
[17:17.44]  a
[17:17.62]  lot
[17:17.80]  of
[17:17.94]  you
[17:18.08]  are
[17:18.26]  about
[17:18.44]  to
[17:18.70]  change
[17:18.90]  one
[17:19.28]  small
[17:19.64]  thing
[17:19.84]  tomorrow
[17:20.22]  morning
[17:20.58]  and
[17:21.04]  feel
[17:21.30]  a
[17:21.40]  little
[17:21.70]  silly
[17:22.02]  and
[17:22.60]  a
[17:22.64]  little
[17:22.92]  delighted
[17:23.34]  about
[17:23.66]  it.
[17:24.14]  That's
[17:24.48]  a
[17:24.52]  good
[17:24.70]  feeling.
[17:25.44]  Tell
[17:25.66]  me.
[17:26.32]  And
[17:26.52]  if
[17:26.64]  this
[17:26.86]  was
[17:27.04]  useful
[17:27.40]  to
[17:27.60]  you,
[17:28.10]  in
[17:28.18]  the
[17:28.36]  next
[17:28.60]  video
[17:28.96]  I'm
[17:29.46]  going
[17:29.60]  to
[17:29.76]  show
[17:29.98]  you
[17:30.16]  the
[17:30.40]  one
[17:30.62]  warm
[17:30.86]  drink
[17:31.14]  most
[17:31.48]  people
[17:31.76]  have
[17:31.96]  in
[17:32.12]  the
[17:32.28]  evening,
[17:32.94]  the
[17:33.02]  one
[17:33.20]  they
[17:33.44]  think
[17:33.60]  is
[17:34.10]  relaxing
[17:34.68]  and
[17:35.22]  good
[17:35.46]  for
[17:35.60]  them,
[17:36.26]  that
[17:36.44]  quietly
[17:36.84]  pulls
[17:37.16]  water
[17:37.56]  out
[17:37.90]  of
[17:38.04]  your
[17:38.22]  skin
[17:38.48]  all
[17:38.84]  night
[17:39.08]  long
[17:39.42]  and
[17:39.94]  undoes
[17:40.36]  half
[17:40.68]  of
[17:40.86]  what
[17:40.98]  the
[17:41.20]  morning
[17:41.46]  glass
[17:41.68]  just
[17:42.04]  did.
[17:42.56]  It's
[17:43.06]  incredibly
[17:43.50]  common,
[17:44.32]  it
[17:44.54]  might
[17:44.76]  be
[17:44.94]  in
[17:45.04]  your
[17:45.20]  hand
[17:45.40]  tonight,
[17:46.10]  so
[17:46.30]  subscribe
[17:46.94]  so
[17:47.38]  that
[17:47.58]  one
[17:47.74]  actually
[17:48.18]  reaches
[17:48.46]  you
[17:48.68]  when
[17:48.82]  it
[17:48.92]  goes
[17:49.12]  up,
[17:49.70]  because
[17:50.02]  these
[17:50.28]  are
[17:50.44]  the
[17:50.54]  kinds
[17:50.74]  of
[17:50.84]  things
[17:51.10]  nobody's
[17:51.68]  ever
[17:51.96]  going
[17:52.20]  to
[17:52.32]  hand
[17:52.48]  you
[17:52.64]  at
[17:52.76]  the
[17:52.92]  pharmacy
[17:53.28]  counter.
[17:53.88]  Go
[17:54.10]  on,
[17:54.50]  look
[17:54.80]  at
[17:54.90]  the
[17:55.04]  back
[17:55.20]  of
[17:55.34]  your
[17:55.54]  hand
[17:55.76]  one
[17:56.12]  more
[17:56.40]  time.
[17:57.04]  That
[17:57.34]  scheme
[17:57.66]  isn't
[17:58.10]  your
[17:58.34]  enemy,
[17:58.86]  and
[17:59.12]  it
[17:59.32]  isn't
[17:59.50]  broken,
[18:00.26]  and
[18:00.44]  it
[18:00.72]  hasn't
[18:01.02]  given
[18:01.30]  up
[18:01.56]  on
[18:01.68]  you,
[18:02.22]  it's
[18:02.62]  just
[18:02.86]  been
[18:03.14]  thirsty
[18:03.56]  and
[18:04.00]  underfed,
[18:04.86]  at
[18:05.02]  the
[18:05.24]  far
[18:05.36]  end
[18:05.54]  of
[18:05.72]  the
[18:05.84]  line,
[18:06.12]  for
[18:06.32]  a
[18:06.50]  long
[18:06.74]  time.
[18:07.38]  Give
[18:07.58]  it
[18:07.78]  a
[18:07.94]  glass,
[18:08.26]  at
[18:08.40]  the
[18:08.58]  right
[18:08.76]  hour,
[18:09.26]  most
[18:09.52]  mornings,
[18:10.48]  steeped
[18:10.78]  gently,
[18:11.26]  never
[18:11.52]  boiled,
[18:12.24]  and
[18:12.44]  give
[18:12.58]  it
[18:12.74]  8
[18:12.98]  weeks,
[18:13.66]  and
[18:13.86]  I
[18:13.98]  think
[18:14.16]  you're
[18:14.36]  going
[18:14.56]  to
[18:14.70]  be
[18:14.82]  a
[18:14.90]  little
[18:15.12]  surprised
[18:15.66]  who's
[18:16.02]  looking
[18:16.28]  back
[18:16.54]  at
[18:16.70]  you
[18:16.80]  in
[18:16.94]  the
[18:17.06]  mirror.
[18:17.72]  They
[18:17.90]  won't
[18:18.18]  be
[18:18.34]  able
[18:18.54]  to
[18:18.76]  guess
[18:18.86]  your
[18:19.10]  age.
[18:19.74]  That,
[18:20.12]  honestly,
[18:20.76]  is
[18:20.90]  the
[18:21.04]  whole
[18:21.18]  idea.
